total,free,used,buff
1987.1,99.4,1554.5,333.2
1987.1,98.9,1554.2,334.0
1987.1,90.0,1556.1,341.0
1987.1,79.4,1558.6,349.1
1987.1,70.1,1559.8,357.2
1987.1,81.9,1562.9,342.4
1987.1,71.5,1565.1,350.5
1987.1,63.5,1568.1,355.6
1987.1,76.7,1570.7,339.7
1987.1,71.0,1572.9,343.2
1987.1,66.1,1575.1,345.9
1987.1,78.1,1576.9,332.1
1987.1,65.8,1584.9,336.5
1987.1,79.4,1599.8,307.9
1987.1,74.8,1602.3,310.1
1987.1,71.5,1604.3,311.3
1987.1,68.6,1605.6,312.9
1987.1,78.4,1608.5,300.2
1987.1,72.9,1610.9,303.3
1987.1,71.1,1609.6,306.4